code,code_description,code_type,cms_opps_inpatient_list,ccs
3807,INCISION OF VESSEL - ABDOMINAL VEINS,ICD9,,ccs51thru61
3809,INCISION OF VESSEL - LOWER LIMB VEINS,ICD9,,ccs51thru61
3810,ENDARTERECTOMY - UNSPECIFIED SITE,ICD9,,ccs51thru61
3813,ENDARTERECTOMY - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3814,ENDARTERECTOMY - AORTA,ICD9,,ccs51thru61
3815,ENDARTERECTOMY - OTHER THORACIC VESSELS,ICD9,,ccs51thru61
3816,ENDARTERECTOMY - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
3830,RESECTION OF VESSEL WITH ANASTOMOSIS - UNSPECIFIED SITE,ICD9,,ccs51thru61
3833,RESECTION OF VESSEL WITH ANASTOMOSIS - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3835,RESECTION OF VESSEL WITH ANASTOMOSIS - OTHER THORACIC VESSELS,ICD9,,ccs51thru61
3836,RESECTION OF VESSEL WITH ANASTOMOSIS - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
3837,RESECTION OF VESSEL WITH ANASTOMOSIS - ABDOMINAL VEINS,ICD9,,ccs51thru61
3838,RESECTION OF VESSEL WITH ANASTOMOSIS - LOWER LIMB ARTERIES,ICD9,,ccs51thru61
3839,RESECTION OF VESSEL WITH ANASTOMOSIS - LOWER LIMB VEINS,ICD9,,ccs51thru61
3840,RESECTION OF VESSEL WITH REPLACEMENT - UNSPECIFIED SITE,ICD9,,ccs51thru61
3843,RESECTION OF VESSEL WITH REPLACEMENT - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3845,RESECTION OF VESSEL WITH REPLACEMENT - THORACIC VESSELS,ICD9,,ccs51thru61
3846,RESECTION OF VESSEL WITH REPLACEMENT - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
3847,RESECTION OF VESSEL WITH REPLACEMENT - ABDOMINAL VEINS,ICD9,,ccs51thru61
3848,RESECTION OF VESSEL WITH REPLACEMENT - LOWER LIMB ARTERIES,ICD9,,ccs51thru61
3849,RESECTION OF VESSEL WITH REPLACEMENT - LOWER LIMB VEINS,ICD9,,ccs51thru61
3850,LIGATION AND STRIPPING OF VARICOSE VEINS - UNSPECIFIED SITE,ICD9,,ccs51thru61
3853,LIGATION AND STRIPPING OF VARICOSE VEINS - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3855,LIGATION AND STRIPPING OF VARICOSE VEINS - OTHER THORACIC VESSELS,ICD9,,ccs51thru61
3857,LIGATION AND STRIPPING OF VARICOSE VEINS - ABDOMINAL VEINS,ICD9,,ccs51thru61
3860,OTHER EXCISION OF VESSELS - UNSPECIFIED SITE,ICD9,,ccs51thru61
3863,OTHER EXCISION OF VESSELS - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3865,OTHER EXCISION OF VESSELS - THORACIC VESSELS,ICD9,,ccs51thru61
3866,OTHER EXCISION OF VESSELS - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
3867,OTHER EXCISION OF VESSELS - ABDOMINAL VEINS,ICD9,,ccs51thru61
3868,OTHER EXCISION OF VESSELS - LOWER LIMB ARTERIES,ICD9,,ccs51thru61
3869,OTHER EXCISION OF VESSELS - LOWER LIMB VEINS,ICD9,,ccs51thru61
387,INTERRUPTION OF THE VENA CAVA,ICD9,,ccs51thru61
3880,OTHER SURGICAL OCCLUSION OF VESSELS - UNSPECIFIED SITE,ICD9,,ccs51thru61
3883,OTHER SURGICAL OCCLUSION OF VESSELS - UPPER LIMB VESSELS,ICD9,,ccs51thru61
3884,OTHER SURGICAL OCCLUSION OF VESSELS - AORTA - ABDOMINAL,ICD9,,ccs51thru61
3885,OTHER SURGICAL OCCLUSION OF VESSELS - THORACIC VESSELS,ICD9,,ccs51thru61
3886,OTHER SURGICAL OCCLUSION OF VESSELS - ABDOMINAL ARTERIES,ICD9,,ccs51thru61
3887,OTHER SURGICAL OCCLUSION OF VESSELS - ABDOMINAL VEINS,ICD9,,ccs51thru61
3888,OTHER SURGICAL OCCLUSION OF VESSELS - LOWER LIMB ARTERIES,ICD9,,ccs51thru61
3889,OTHER SURGICAL OCCLUSION OF VESSELS - LOWER LIMB VEINS,ICD9,,ccs51thru61
3930,SUTURE OF UNSPECIFIED BLOOD VESSEL,ICD9,,ccs51thru61
3931,SUTURE OF ARTERY,ICD9,,ccs51thru61
3932,SUTURE OF VEIN,ICD9,,ccs51thru61
3941,CONTROL OF HEMORRHAGE FOLLOWING VASCULAR SURGERY,ICD9,,ccs51thru61
3949,OTHER REVISION OF VASCULAR PROCEDURE,ICD9,,ccs51thru61
3950,ANGIOPLASTY OF OTHER NON-CORONARY VESSEL(S),ICD9,,ccs51thru61
3951,CLIPPING OF ANEURYSM,ICD9,,ccs51thru61
3952,OTHER REPAIR OF ANEURYSM,ICD9,,ccs51thru61
3953,REPAIR OF ARTERIOVENOUS FISTULA,ICD9,,ccs51thru61
3954,RE-ENTRY OPERATION (AORTA),ICD9,,ccs51thru61
3955,REIMPLANTATION OF ABERRANT RENAL VESSEL,ICD9,,ccs51thru61
3956,REPAIR OF BLOOD VESSEL WITH TISSUE PATCH GRAFT,ICD9,,ccs51thru61
3957,REPAIR OF BLOOD VESSEL WITH SYNTHETIC PATCH GRAFT,ICD9,,ccs51thru61
3958,REPAIR OF BLOOD VESSEL WITH UNSPECIFIED TYPE OF PATCH GRAFT,ICD9,,ccs51thru61
3959,OTHER REPAIR OF VESSEL,ICD9,,ccs51thru61
397,REVISION OF SPINAL THECAL SHUNT,ICD9,,ccs51thru61
3977,TEMPORARY (PARTIAL) THERAPEUTIC ENDOVASCULAR OCCLUSION OF VESSEL,ICD9,,ccs51thru61
3979,OTHER ENDOVASCULAR PROCEDURES ON OTHER VESSELS,ICD9,,ccs51thru61
398,REMOVAL OF SPINAL THECAL SHUNT,ICD9,,ccs51thru61
3990,INSERTION OF NON-DRUG-ELUTING PERIPHERAL (NON-CORONARY) VESSEL STENT(S),ICD9,,ccs51thru61
3991,FREEING OF VESSEL,ICD9,,ccs51thru61
3992,INJECTION OF SCLEROSING AGENT INTO VEIN,ICD9,,ccs51thru61
3994,REPLACEMENT OF VESSEL-TO-VESSEL CANNULA,ICD9,,ccs51thru61
3998,CONTROL OF HEMORRHAGE - NOT OTHERWISE SPECIFIED,ICD9,,ccs51thru61
3999,OTHER OPERATIONS ON VESSELS,ICD9,,ccs51thru61
6824,UTERINE ARTERY EMBOLIZATION [UAE] WITH COILS,ICD9,,ccs51thru61
6825,UTERINE ARTERY EMBOLIZATION [UAE] WITHOUT COILS,ICD9,,ccs51thru61
03CG0Z6,Extirpate matter from Intracran Art - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CG0ZZ,Extirpation of Matter from Intracran Art - Open Approach,ICD10_PROC,,ccs51thru61
03CG3Z6,Extirpate matter from Intracran Art - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CG3ZZ,Extirpation of Matter from Intracran Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CG4Z6,Extirpate matter from Intracran Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CG4ZZ,Extirpation of Matter from Intracran Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CH0Z6,Extirpate matter from R Com Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CH0ZZ,Extirpation of Matter from R Com Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CH3Z6,Extirpate matter from R Com Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CH3ZZ,Extirpation of Matter from R Com Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CH4Z6,Extirpate matter from R Com Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CH4ZZ,Extirpation of Matter from R Com Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CJ0Z6,Extirpate matter from L Com Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CJ0ZZ,Extirpation of Matter from L Com Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CJ3Z6,Extirpate matter from L Com Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CJ3ZZ,Extirpation of Matter from L Com Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CJ4Z6,Extirpate matter from L Com Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CJ4ZZ,Extirpation of Matter from L Com Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CK0Z6,Extirpate matter from R Int Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CK0ZZ,Extirpation of Matter from R Int Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CK3Z6,Extirpate matter from R Int Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CK3ZZ,Extirpation of Matter from R Int Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CK4Z6,Extirpate matter from R Int Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CK4ZZ,Extirpation of Matter from R Int Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CL0Z6,Extirpate matter from L Int Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CL0ZZ,Extirpation of Matter from L Int Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CL3Z6,Extirpate matter from L Int Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CL3ZZ,Extirpation of Matter from L Int Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CL4Z6,Extirpate matter from L Int Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CL4ZZ,Extirpation of Matter from L Int Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CM0Z6,Extirpate matter from R Ext Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CM0ZZ,Extirpation of Matter from R Ext Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CM3Z6,Extirpate matter from R Ext Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CM3ZZ,Extirpation of Matter from R Ext Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CM4Z6,Extirpate matter from R Ext Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CM4ZZ,Extirpation of Matter from R Ext Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CN0Z6,Extirpate matter from L Ext Carotid - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CN0ZZ,Extirpation of Matter from L Ext Carotid - Open Approach,ICD10_PROC,,ccs51thru61
03CN3Z6,Extirpate matter from L Ext Carotid - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CN3ZZ,Extirpation of Matter from L Ext Carotid - Perc Approach,ICD10_PROC,,ccs51thru61
03CN4Z6,Extirpate matter from L Ext Carotid - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CN4ZZ,Extirpation of Matter from L Ext Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CP0Z6,Extirpate of Matter from R Verteb Art - Bifurc - Open Approach,ICD10_PROC,,ccs51thru61
03CP0ZZ,Extirpation of Matter from R Verteb Art - Open Approach,ICD10_PROC,,ccs51thru61
03CP3Z6,Extirpate of Matter from R Verteb Art - Bifurc - Perc Approach,ICD10_PROC,,ccs51thru61
03CP3ZZ,Extirpation of Matter from R Verteb Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CP4Z6,Extirpate matter from R Verteb Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CP4ZZ,Extirpation of Matter from R Verteb Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CQ0Z6,Extirpate of Matter from L Verteb Art - Bifurc - Open Approach,ICD10_PROC,,ccs51thru61
03CQ0ZZ,Extirpation of Matter from L Verteb Art - Open Approach,ICD10_PROC,,ccs51thru61
03CQ3Z6,Extirpate of Matter from L Verteb Art - Bifurc - Perc Approach,ICD10_PROC,,ccs51thru61
03CQ3ZZ,Extirpation of Matter from L Verteb Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CQ4Z6,Extirpate matter from L Verteb Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CQ4ZZ,Extirpation of Matter from L Verteb Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CR0Z6,Extirpation of Matter from Face Art - Bifurc - Open Approach,ICD10_PROC,,ccs51thru61
03CR0ZZ,Extirpation of Matter from Face Artery - Open Approach,ICD10_PROC,,ccs51thru61
03CR3Z6,Extirpation of Matter from Face Art - Bifurc - Perc Approach,ICD10_PROC,,ccs51thru61
03CR3ZZ,Extirpation of Matter from Face Artery - Perc Approach,ICD10_PROC,,ccs51thru61
03CR4Z6,Extirpate matter from Face Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CR4ZZ,Extirpation of Matter from Face Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CS0Z6,Extirpate matter from R Temporal Art - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CS0ZZ,Extirpation of Matter from R Temporal Art - Open Approach,ICD10_PROC,,ccs51thru61
03CS3Z6,Extirpate matter from R Temporal Art - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CS3ZZ,Extirpation of Matter from R Temporal Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CS4Z6,Extirpate matter from R Temporal Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CS4ZZ,Extirpate of Matter from R Temporal Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CT0Z6,Extirpate matter from L Temporal Art - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CT0ZZ,Extirpation of Matter from L Temporal Art - Open Approach,ICD10_PROC,,ccs51thru61
03CT3Z6,Extirpate matter from L Temporal Art - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CT3ZZ,Extirpation of Matter from L Temporal Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CT4Z6,Extirpate matter from L Temporal Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CT4ZZ,Extirpate of Matter from L Temporal Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CU0Z6,Extirpate matter from R Thyroid Art - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CU0ZZ,Extirpation of Matter from R Thyroid Art - Open Approach,ICD10_PROC,,ccs51thru61
03CU3Z6,Extirpate matter from R Thyroid Art - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CU3ZZ,Extirpation of Matter from R Thyroid Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CU4Z6,Extirpate matter from R Thyroid Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CU4ZZ,Extirpation of Matter from R Thyroid Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
03CV0Z6,Extirpate matter from L Thyroid Art - Bifurc - Open,ICD10_PROC,,ccs51thru61
03CV0ZZ,Extirpation of Matter from L Thyroid Art - Open Approach,ICD10_PROC,,ccs51thru61
03CV3Z6,Extirpate matter from L Thyroid Art - Bifurc - Perc,ICD10_PROC,,ccs51thru61
03CV3ZZ,Extirpation of Matter from L Thyroid Art - Perc Approach,ICD10_PROC,,ccs51thru61
03CV4Z6,Extirpate matter from L Thyroid Art - Bifurc - Perc Endo,ICD10_PROC,,ccs51thru61
03CV4ZZ,Extirpation of Matter from L Thyroid Art - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035G0ZZ,Destruction of Intracranial Artery - Open Approach,ICD10_PROC,,ccs51thru61
035G3ZZ,Destruction of Intracranial Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035G4ZZ,Destruction of Intracranial Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035H0ZZ,Destruction of Right Common Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035H3ZZ,Destruction of Right Common Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035H4ZZ,Destruction of R Com Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035J0ZZ,Destruction of Left Common Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035J3ZZ,Destruction of Left Common Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035J4ZZ,Destruction of L Com Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035K0ZZ,Destruction of Right Internal Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035K3ZZ,Destruction of Right Internal Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035K4ZZ,Destruction of R Int Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035L0ZZ,Destruction of Left Internal Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035L3ZZ,Destruction of Left Internal Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035L4ZZ,Destruction of L Int Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035M0ZZ,Destruction of Right External Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035M3ZZ,Destruction of Right External Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035M4ZZ,Destruction of R Ext Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035N0ZZ,Destruction of Left External Carotid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035N3ZZ,Destruction of Left External Carotid Artery - Perc Approach,ICD10_PROC,,ccs51thru61
035N4ZZ,Destruction of L Ext Carotid - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035P0ZZ,Destruction of Right Vertebral Artery - Open Approach,ICD10_PROC,,ccs51thru61
035P3ZZ,Destruction of Right Vertebral Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035P4ZZ,Destruction of Right Vertebral Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035Q0ZZ,Destruction of Left Vertebral Artery - Open Approach,ICD10_PROC,,ccs51thru61
035Q3ZZ,Destruction of Left Vertebral Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035Q4ZZ,Destruction of Left Vertebral Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035R0ZZ,Destruction of Face Artery - Open Approach,ICD10_PROC,,ccs51thru61
035R3ZZ,Destruction of Face Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035R4ZZ,Destruction of Face Artery - Percutaneous Endoscopic Approach,ICD10_PROC,,ccs51thru61
035S0ZZ,Destruction of Right Temporal Artery - Open Approach,ICD10_PROC,,ccs51thru61
035S3ZZ,Destruction of Right Temporal Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035S4ZZ,Destruction of Right Temporal Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035T0ZZ,Destruction of Left Temporal Artery - Open Approach,ICD10_PROC,,ccs51thru61
035T3ZZ,Destruction of Left Temporal Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035T4ZZ,Destruction of Left Temporal Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035U0ZZ,Destruction of Right Thyroid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035U3ZZ,Destruction of Right Thyroid Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035U4ZZ,Destruction of Right Thyroid Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
035V0ZZ,Destruction of Left Thyroid Artery - Open Approach,ICD10_PROC,,ccs51thru61
035V3ZZ,Destruction of Left Thyroid Artery - Percutaneous Approach,ICD10_PROC,,ccs51thru61
035V4ZZ,Destruction of Left Thyroid Artery - Perc Endo Approach,ICD10_PROC,,ccs51thru61
037G046,Dilate Intracran Art - Bifurc - w Drug-elut Intra - Open,ICD10_PROC,,ccs51thru61
037G04Z,Dilate of Intracran Art with Drug-elut Intra - Open Approach,ICD10_PROC,,ccs51thru61
037G056,Dilate Intracran Art - Bifurc - w 2 Drug-elut - Open,ICD10_PROC,,ccs51thru61
037G05Z,Dilation of Intracran Art with 2 Drug-elut - Open Approach,ICD10_PROC,,ccs51thru61
037G066,Dilate Intracran Art - Bifurc - w 3 Drug-elut - Open,ICD10_PROC,,ccs51thru61
037G06Z,Dilation of Intracran Art with 3 Drug-elut - Open Approach,ICD10_PROC,,ccs51thru61
037G076,Dilate Intracran Art - Bifurc - w 4 Drug-elut - Open,ICD10_PROC,,ccs51thru61
037G07Z,Dilation of Intracran Art with 4 Drug-elut - Open Approach,ICD10_PROC,,ccs51thru61
037G0D6,Dilate Intracran Art - Bifurc - w Intralum Dev - Open,ICD10_PROC,,ccs51thru61
037G0DZ,Dilation of Intracran Art with Intralum Dev - Open Approach,ICD10_PROC,,ccs51thru61
037G0E6,Dilate Intracran Art - Bifurc - w 2 Intralum Dev - Open,ICD10_PROC,,ccs51thru61
037G0EZ,Dilation of Intracran Art with 2 Intralum Dev - Open Approach,ICD10_PROC,,ccs51thru61
037G0F6,Dilate Intracran Art - Bifurc - w 3 Intralum Dev - Open,ICD10_PROC,,ccs51thru61
037G0FZ,Dilation of Intracran Art with 3 Intralum Dev - Open Approach,ICD10_PROC,,ccs51thru61
037G0G6,Dilate Intracran Art - Bifurc - w 4+ Intralum Dev - Open,ICD10_PROC,,ccs51thru61
037G0GZ,Dilate of Intracran Art with 4+ Intralum Dev - Open Approach,ICD10_PROC,,ccs51thru61
037G0Z6,Dilation of Intracranial Artery - Bifurcation - Open Approach,ICD10_PROC,,ccs51thru61
037G0ZZ,Dilation of Intracranial Artery - Open Approach,ICD10_PROC,,ccs51thru61
037G346,Dilate Intracran Art - Bifurc - w Drug-elut Intra - Perc,ICD10_PROC,,ccs51thru61
037G34Z,Dilate of Intracran Art with Drug-elut Intra - Perc Approach,ICD10_PROC,,ccs51thru61
037G356,Dilate Intracran Art - Bifurc - w 2 Drug-elut - Perc,ICD10_PROC,,ccs51thru61
037G35Z,Dilation of Intracran Art with 2 Drug-elut - Perc Approach,ICD10_PROC,,ccs51thru61
037G366,Dilate Intracran Art - Bifurc - w 3 Drug-elut - Perc,ICD10_PROC,,ccs51thru61
037G36Z,Dilation of Intracran Art with 3 Drug-elut - Perc Approach,ICD10_PROC,,ccs51thru61
